id,phase,repeat,S_mv,D_mv,E,D,I,V,S_real,E_real,BPM,mp3_path
0,2,0,1,1,0.0,0.35,0.03125,0.0,0.50625,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0000.mp3
1,3,3,0,1,0.0,0.471875,0.07427300347222222,0.0,0.45625000000000004,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0001.mp3
2,3,0,1,1,0.5,0.359375,0.03390842013888889,4.557641687407823e-05,0.51875,0.004903016766269789,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0002.mp3
3,3,6,2,2,1.0,0.51875,0.095703125,0.00020061539674144538,0.4625,0.012757018610728837,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0003.mp3
4,2,6,1,1,0.5,0.41562499999999997,0.05213758680555555,5.605676825579951e-05,0.5125,0.006821302413534416,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0004.mp3
5,2,6,1,1,1.0,0.34062499999999996,0.028700086805555556,0.00018343052618380613,0.5,0.00951034886833705,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0005.mp3
6,3,7,2,2,1.0,0.5375,0.10503472222222221,0.00020004038770228056,0.4625,0.011004343344325885,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0006.mp3
7,1,4,1,1,0.0,0.32187499999999997,0.02392578125,0.0,0.47187500000000004,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0007.mp3
8,3,1,0,1,1.0,0.43437499999999996,0.05908203125,0.00014716169539421138,0.496875,0.008409858811764963,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0008.mp3
9,3,6,1,1,1.0,0.396875,0.04562717013888889,0.00022231709967889516,0.546875,0.010675121630870211,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0009.mp3
10,3,5,1,2,1.0,0.55625,0.11480034722222222,0.00017406667847632055,0.475,0.010558644743433494,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0010.mp3
11,3,2,0,1,0.5,0.33125,0.026258680555555552,5.298898521505622e-05,0.403125,0.005099336484824001,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0011.mp3
12,3,5,2,1,0.0,0.378125,0.03955078125,0.0,0.46875000000000006,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0012.mp3
13,3,6,2,1,0.0,0.38749999999999996,0.04253472222222223,0.0,0.434375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0013.mp3
14,3,5,1,1,1.0,0.34062499999999996,0.028700086805555556,0.00018906431624162484,0.528125,0.00972258842524816,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0014.mp3
15,3,4,2,2,1.0,0.509375,0.09120008680555557,0.00024170693424081213,0.48124999999999996,0.014612791775077056,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0015.mp3
16,3,2,2,1,0.5,0.41562499999999997,0.05213758680555555,3.379638550146872e-05,0.47187500000000004,0.004199607614715882,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0016.mp3
17,3,6,1,1,0.0,0.40625,0.048828125,0.0,0.49374999999999997,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0017.mp3
18,3,4,2,2,0.5,0.51875,0.095703125,5.6089856225444845e-05,0.50625,0.005707820056151427,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0018.mp3
19,1,3,0,1,0.0,0.35,0.03125,0.0,0.365625,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0019.mp3
20,3,6,1,2,0.0,0.49999999999999994,0.08680555555555557,0.0,0.565625,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0020.mp3
21,3,0,0,1,0.5,0.48124999999999996,0.0783420138888889,6.314722347667854e-05,0.47187500000000004,0.006090537843806645,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0021.mp3
22,3,5,1,2,0.0,0.49999999999999994,0.08680555555555557,0.0,0.5406249999999999,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0022.mp3
23,3,0,0,2,0.0,0.55625,0.11480034722222222,0.0,0.46875,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0023.mp3
24,3,6,2,2,0.5,0.5375,0.10503472222222221,4.055473540291614e-05,0.484375,0.004797864376065209,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0024.mp3
25,3,5,2,2,0.0,0.5375,0.10503472222222221,0.0,0.459375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0025.mp3
26,3,6,0,0,0.0,0.27499999999999997,0.01388888888888889,0.0,0.48750000000000004,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0026.mp3
27,3,7,2,1,1.0,0.359375,0.03390842013888889,0.00011247853584465492,0.434375,0.008050226997429535,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0027.mp3
28,3,5,2,2,1.0,0.528125,0.10031467013888888,0.00023600287752374943,0.471875,0.01465848622092793,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0028.mp3
29,3,0,2,2,0.0,0.490625,0.08251953125,0.0,0.4593750000000001,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0029.mp3
30,2,2,1,1,0.0,0.378125,0.03955078125,0.0,0.5218750000000001,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0030.mp3
